,belly_bottom_x,belly_bottom_y,belly_middle_x,belly_middle_y,belly_top_x,belly_top_y,nose_x,nose_y,pawbackL_x,pawbackL_y,pawbackR_x,pawbackR_y,pawfrontL_x,pawfrontL_y,pawfrontR_x,pawfrontR_y,tailbase_x,tailbase_y,tailmiddle_1_x,tailmiddle_1_y,tailmiddle_2_x,tailmiddle_2_y,tailtip_x,tailtip_y
20,1543.286523828717,704.3926537716188,1615.7935496740092,692.3169208499492,1730.9931631025465,689.109432877427,1798.1594328155666,705.4837453975274,1582.4724107400991,749.8309243036915,1504.53987735073,644.2830779257188,1676.465433454921,705.3644900774436,1731.4861303118666,659.3779387397566,1455.1675120400018,715.2972800939106,1371.5809136435244,655.8365112127863,1365.4430374356461,545.6416088822943,1408.1151087186734,471.91180872328164
21,1543.5331873329467,704.7004876241015,1630.145869764315,691.5498300150164,1731.6232783354296,691.4823364080592,1805.5858187871393,709.233306226268,1583.9811395074714,750.3736369405892,1503.7572466491617,642.7599516132943,1684.2990055769787,705.5788226494144,1749.3367893668371,661.9838230232904,1447.1719659087594,702.5959728633211,1371.395943486555,657.9529589371361,1347.9096443486078,568.379067130664,1409.6286408006797,481.80212345557925
22,1545.5511039506528,706.2619405653606,1634.588701410953,696.6907832197883,1738.3757324889593,694.0321846408565,1820.4942853587497,714.4644246458738,1584.620995122221,751.6277954568498,1506.0163144747005,641.5481130081096,1716.0965993239697,716.4581336189588,1749.732039195731,662.8765957349333,1449.4689797959193,692.2917311905478,1373.5953382800087,652.8118218935764,1345.6768122579776,566.474688800628,1406.935264726931,475.303830490733
23,1563.6036587557426,706.2297284295869,1639.0315330575909,701.8317364245604,1745.1281866424888,696.582032873654,1835.4027519303602,719.6955430654796,1584.1084893395278,751.379278092011,1508.8638384807716,642.3663201185143,1747.8941930709602,727.3374445885033,1750.127289024625,663.7693684465762,1462.9732356466889,692.0735249852423,1379.3653846132672,649.257713442388,1353.7142782823855,565.5685164189094,1405.2671994958196,473.3062799146768
24,1563.0063494085805,706.5896878239619,1643.474364704229,706.9726896293323,1751.8806407960185,699.1318811064514,1850.3112185019706,724.9266614850851,1581.7597481460512,752.9198163424912,1501.5075844365294,637.0061303381401,1779.6917868179512,738.2167555580479,1750.5225388535189,664.6621411582191,1470.999372764019,691.9103392209124,1391.646532466256,653.5602942273265,1368.1206038127784,553.4109542619898,1408.603815992977,470.38153385367536
25,1577.1851523149912,708.3608494184239,1655.197146449218,701.7913618672771,1758.6330949495482,701.6817293392487,1865.2196850735809,730.1577799046909,1582.611124196014,753.6150852867877,1523.2902337977832,634.1333889302397,1795.0160154632158,740.1461974150138,1749.5199516551831,662.2783424090474,1486.2183593215523,702.0212246192814,1402.6698339974196,650.7436818726108,1372.9026300857784,561.1542895658532,1428.2491487373554,473.7006823854715
26,1581.4514050882822,686.5814119018662,1666.9199281942067,696.6100341052222,1765.3855491030777,704.231577572046,1880.1281516451913,735.3888983242964,1584.4912825342406,751.6512312988659,1557.2607763136507,633.662500818734,1810.3402441084806,742.0756392719798,1748.5173644568472,659.8945436598757,1500.6597175711927,693.5922604772859,1415.427084763395,650.5015721561515,1386.2997150784865,563.5106474506065,1439.169232241449,469.4487170399426
27,1596.4777889115426,688.8494887320853,1678.6427099391958,691.428706343167,1772.1380032566074,706.7814258048436,1895.0366182168016,740.6200167439022,1588.3697263128865,753.1627656935991,1598.6046577146444,630.4652845188168,1825.6644727537455,744.0050811289457,1752.6748252223906,665.9935599333676,1505.9091512884277,694.972639600305,1429.835595823644,650.0837821988569,1401.229313320757,553.5889764906747,1452.1037640173354,467.2048729878475
28,1611.5182530242712,690.9924944839609,1714.831157802209,704.6351549042859,1778.8904574101368,709.3312740376409,1902.376041844569,740.5196797911974,1592.3707997587446,757.4020179553918,1628.9568271429746,635.9361590689409,1824.3958770161119,741.945701283232,1766.545070105964,662.1957768758173,1517.5787564564769,693.8987261941229,1441.3771916182902,625.9045251848297,1408.1698247678721,551.9281197961841,1454.056084594641,451.7195004622617
29,1612.8480056264082,710.4555962873885,1730.4578413428626,706.8063265821017,1791.7278903597028,709.9011308770891,1909.7154654723363,740.4193428384926,1595.6609992222138,759.0481813147562,1631.1363497564873,648.6715842935919,1825.3925367502952,740.862193646632,1766.810009515642,661.0342824851903,1527.0860707007819,691.2907881960105,1439.7730354864934,628.8382954391031,1418.2024732654081,550.7190364480304,1467.0043783195124,441.65628903103726
30,1629.3619192826175,711.0548306077328,1741.6751059946635,707.8072655986746,1804.565323309269,710.4709877165371,1917.0548891001035,740.3190058857879,1587.08817338915,758.8580526935823,1625.951087839209,645.488457892252,1823.7853323611344,741.4677380519017,1789.6701839390364,666.3521297007562,1538.4194706569558,697.4435743314325,1459.547377959022,636.3861083119095,1433.369343967651,539.0072084674025,1473.2887510516557,442.0642708002523
31,1645.8758329388268,711.6540649280769,1752.8923706464639,708.8082046152472,1817.4027562588346,711.0408445559851,1924.3943127278708,740.2186689330829,1589.9737021963958,758.2990241770015,1627.149647895588,643.1090758073149,1822.178127971974,742.0732824571714,1812.5303583624311,671.6699769163221,1549.4305430470122,699.8057407676135,1467.2361714950268,635.1499588933361,1437.2975715328178,541.8866332431176,1472.7989969269165,450.7273044691979
